time_ms,audio_time_ms,frame_id,mouth_open_target,mouth_up_corner_l_target,mouth_up_corner_r_target,mouth_lip_upper_l_target,mouth_lip_upper_r_target,mouth_lip_lower_target,send_success
2801.576,2800.0,70,0.00039,-0.000203,-0.000203,9.1e-05,9.1e-05,0.000234,1
2841.474,2840.0,71,9.7e-05,-5.1e-05,-5.1e-05,2.3e-05,2.3e-05,5.8e-05,1
2881.849,2880.0,72,2.4e-05,-1.3e-05,-1.3e-05,6e-06,6e-06,1.5e-05,1
2921.409,2920.0,73,6e-06,-3e-06,-3e-06,1e-06,1e-06,4e-06,1
2961.856,2960.0,74,2e-06,-1e-06,-1e-06,0.0,0.0,1e-06,1
3001.431,3000.0,75,0.0,-0.0,-0.0,0.0,0.0,0.0,1
3041.182,3040.0,76,0.0,-0.0,-0.0,0.0,0.0,0.0,1
3081.664,3080.0,77,0.0,-0.0,-0.0,0.0,0.0,0.0,1
3121.18,3120.0,78,0.0,-0.0,-0.0,0.0,0.0,0.0,1
3161.025,3160.0,79,0.0,-0.0,-0.0,0.0,0.0,0.0,1
3200.878,3200.0,80,0.0,-0.0,-0.0,0.0,0.0,0.0,1
3241.038,3240.0,81,0.0,-0.0,-0.0,0.0,0.0,0.0,1
3280.754,3280.0,82,0.0,-0.0,-0.0,0.0,0.0,0.0,1
3321.985,3320.0,83,0.0,-0.0,-0.0,0.0,0.0,0.0,1
3360.692,3360.0,84,0.0,-0.0,-0.0,0.0,0.0,0.0,1
3401.633,3400.0,85,0.0,-0.0,-0.0,0.0,0.0,0.0,1
3441.161,3440.0,86,0.0,-0.0,-0.0,0.0,0.0,0.0,1
