paragraph_id,phrase_idx,syllable_idx,global_syllable_idx,syllable,phone,phone_role,viseme_id,start_frame,end_frame,start_time_ms,end_time_ms,dominance,motion_profile
P002,0,18,18,zi,i,final,5,100,104,4000,4160,0.82,vowel_hold
P002,0,19,19,ran,r,initial,2,105,105,4200,4200,0.62,soft_consonant
P002,0,19,19,ran,an,final,7,106,109,4240,4360,0.82,vowel_hold
P002,0,20,20,de,d,initial,2,110,110,4400,4400,0.62,soft_consonant
P002,0,20,20,de,e,final,4,111,114,4440,4560,0.82,vowel_hold
P002,0,21,21,ren,r,initial,2,115,115,4600,4600,0.62,soft_consonant
P002,0,21,21,ren,en,final,4,116,119,4640,4760,0.82,vowel_hold
P002,0,22,22,ji,i,final,5,120,124,4800,4960,0.82,vowel_hold
P002,0,23,23,jiao,j,initial,5,125,125,5000,5000,0.72,soft_consonant
P002,0,23,23,jiao,iao,final,6,126,129,5040,5160,0.72,vowel_hold
P002,0,24,24,hu,h,initial,4,130,130,5200,5200,0.72,soft_consonant
P002,0,24,24,hu,u,final,3,131,134,5240,5360,0.82,vowel_hold
P002,1,0,25,ran,r,initial,2,161,161,6440,6440,0.62,soft_consonant
P002,1,0,25,ran,an,final,7,162,165,6480,6600,0.82,vowel_hold
P002,1,1,26,er,er,final,4,166,170,6640,6800,0.72,vowel_hold
P002,2,0,27,you,y,initial,5,184,184,7360,7360,0.72,soft_consonant
P002,2,0,27,you,ou,final,6,185,188,7400,7520,0.82,vowel_hold
P002,2,1,28,yu,y,initial,5,189,189,7560,7560,0.72,soft_consonant
P002,2,1,28,yu,u,final,3,190,193,7600,7720,0.82,vowel_hold
P002,2,2,29,mian,m,initial,0,194,195,7760,7800,1.0,closure
P002,2,2,29,mian,ian,final,7,196,198,7840,7920,0.82,vowel_hold
P002,2,3,30,bu,b,initial,0,199,200,7960,8000,1.0,closure
P002,2,3,30,bu,u,final,3,201,203,8040,8120,0.82,vowel_hold
P002,2,4,31,sheng,sh,initial,2,204,204,8160,8160,0.62,soft_consonant
P002,2,4,31,sheng,eng,final,4,205,208,8200,8320,0.82,vowel_hold
P002,2,5,32,wu,u,final,3,209,213,8360,8520,0.82,vowel_hold
P002,2,6,33,li,l,initial,2,214,214,8560,8560,0.62,soft_consonant
P002,2,6,33,li,i,final,5,215,218,8600,8720,0.82,vowel_hold
P002,2,7,34,xue,x,initial,5,219,219,8760,8760,0.72,soft_consonant
P002,2,7,34,xue,ue,final,4,220,223,8800,8920,0.72,vowel_hold
P002,2,8,35,de,d,initial,2,224,224,8960,8960,0.62,soft_consonant
P002,2,8,35,de,e,final,4,225,228,9000,9120,0.82,vowel_hold
P002,2,9,36,fu,f,initial,1,229,230,9160,9200,1.0,labiodental
P002,2,9,36,fu,u,final,3,231,233,9240,9320,0.82,vowel_hold
P002,2,10,37,za,z,initial,5,234,234,9360,9360,0.62,soft_consonant
