paragraph_id,phrase_idx,syllable_idx,global_syllable_idx,syllable,phone_idx,phone,phone_role,viseme_id,start_frame,end_frame,start_time_ms,end_time_ms,duration_weight,raw_viseme_id,source
P002,12,17,233,shi,1,sapi_viseme_20,tts_viseme,4,1601,1603,64040,64120,3,20,tts_viseme
P002,12,18,234,xian,0,sapi_viseme_15,tts_viseme,5,1604,1607,64160,64280,4,15,tts_viseme
P002,12,18,234,xian,1,sapi_viseme_6,tts_viseme,5,1608,1609,64320,64360,2,6,tts_viseme
P002,12,18,234,xian,2,sapi_viseme_6,tts_viseme,5,1610,1611,64400,64440,2,6,tts_viseme
P002,12,19,235,zi,0,sapi_viseme_16,tts_viseme,2,1611,1612,64440,64480,2,16,tts_viseme
P002,12,19,235,zi,1,sapi_viseme_6,tts_viseme,5,1611,1614,64440,64560,4,6,tts_viseme
P002,12,19,235,zi,2,sapi_viseme_2,tts_viseme,7,1614,1617,64560,64680,4,2,tts_viseme
P002,12,20,236,ran,0,sapi_viseme_19,tts_viseme,2,1617,1621,64680,64840,5,19,tts_viseme
P002,12,20,236,ran,1,sapi_viseme_20,tts_viseme,4,1621,1623,64840,64920,3,20,tts_viseme
P002,12,21,237,jiao,0,sapi_viseme_2,tts_viseme,7,1624,1625,64960,65000,2,2,tts_viseme
P002,12,21,237,jiao,1,sapi_viseme_8,tts_viseme,6,1626,1628,65040,65120,3,8,tts_viseme
P002,12,21,237,jiao,2,sapi_viseme_16,tts_viseme,2,1628,1629,65120,65160,2,16,tts_viseme
P002,12,21,237,jiao,3,sapi_viseme_6,tts_viseme,5,1628,1630,65120,65200,3,6,tts_viseme
P002,12,22,238,hu,0,sapi_viseme_2,tts_viseme,7,1631,1633,65240,65320,3,2,tts_viseme
P002,12,22,238,hu,1,sapi_viseme_8,tts_viseme,6,1634,1636,65360,65440,3,8,tts_viseme
P002,12,23,239,de,0,sapi_viseme_19,tts_viseme,2,1636,1637,65440,65480,2,19,tts_viseme
P002,12,23,239,de,1,sapi_viseme_1,tts_viseme,4,1637,1638,65480,65520,2,1,tts_viseme
P002,12,23,239,de,2,sapi_viseme_1,tts_viseme,4,1639,1639,65560,65560,1.0,1,tts_viseme
P002,12,23,239,de,3,sapi_viseme_7,tts_viseme,3,1640,1642,65600,65680,3,7,tts_viseme
P002,12,24,240,neng,0,sapi_viseme_4,tts_viseme,4,1642,1643,65680,65720,2,4,tts_viseme
