time_ms,audio_time_ms,frame_id,mouth_open_target,mouth_up_corner_l_target,mouth_up_corner_r_target,mouth_lip_upper_l_target,mouth_lip_upper_r_target,mouth_lip_lower_target,send_success
1480.71,1480.0,37,0.278577,0.255042,0.255042,0.045838,0.045838,0.235711,1
1521.181,1520.0,38,0.284434,0.234111,0.234111,-0.062606,-0.062606,0.251498,1
1560.761,1560.0,39,0.158463,0.094111,0.094111,-0.002212,-0.002212,0.111498,1
1601.184,1600.0,40,0.097853,-0.045889,-0.045889,0.008406,0.008406,0.054753,1
1641.185,1640.0,41,0.053581,-0.058509,-0.058509,0.006581,0.006581,0.027127,1
1680.975,1680.0,42,0.013395,-0.014627,-0.014627,0.001645,0.001645,0.006782,1
1720.755,1720.0,43,0.114574,0.125373,0.125373,0.141645,0.141645,0.043405,1
1761.829,1760.0,44,0.139544,0.260074,0.260074,0.264143,0.264143,0.052439,1
1800.785,1800.0,45,0.139064,0.279886,0.279886,0.280903,0.280903,0.052176,1
1840.739,1840.0,46,0.229596,0.139886,0.139886,0.140903,0.140903,-0.087824,1
1880.549,1880.0,47,0.168538,-0.000114,-0.000114,0.201934,0.201934,-0.227824,1
1921.08,1920.0,48,0.16349,-0.140114,-0.140114,0.232517,0.232517,-0.367824,1
1960.506,1960.0,49,0.168959,-0.280114,-0.280114,0.25026,0.25026,-0.507824,1
2001.217,2000.0,50,0.164805,-0.420114,-0.420114,0.246412,0.246412,-0.647824,1
2041.528,2040.0,51,0.304805,-0.280114,-0.280114,0.106595,0.106595,-0.507824,1
2080.71,2080.0,52,0.31137,-0.140114,-0.140114,0.060393,0.060393,-0.367824,1
2120.646,2120.0,53,0.234622,-0.000114,-0.000114,0.037594,0.037594,-0.227824,1
2161.196,2160.0,54,0.137045,0.038828,0.038828,0.020646,0.020646,-0.087824,1
2201.197,2200.0,55,0.034261,0.009707,0.009707,0.005162,0.005162,-0.021956,1
2241.294,2240.0,56,0.008565,0.002427,0.002427,0.00129,0.00129,-0.005489,1
2280.566,2280.0,57,0.002141,0.000607,0.000607,0.000323,0.000323,-0.001372,1
2321.358,2320.0,58,0.112867,-0.139393,-0.139393,0.140323,0.140323,-0.141372,1
2360.687,2360.0,59,0.143944,-0.279393,-0.279393,0.208671,0.208671,-0.281372,1
2400.902,2400.0,60,0.148048,-0.419393,-0.419393,0.220261,0.220261,-0.421372,1
2441.228,2440.0,61,0.144646,-0.559393,-0.559393,0.216516,0.216516,-0.561372,1
2481.197,2480.0,62,0.225126,-0.419393,-0.419393,0.076516,0.076516,-0.421372,1
2520.618,2520.0,63,0.271439,-0.279393,-0.279393,-0.055063,-0.055063,-0.281372,1
2560.883,2560.0,64,0.281404,-0.139393,-0.139393,-0.087402,-0.087402,-0.141372,1
2600.822,2600.0,65,0.17903,-0.279393,-0.279393,0.052598,0.052598,-0.281372,1
2640.799,2640.0,66,0.147827,-0.419393,-0.419393,0.167754,0.167754,-0.421372,1
2680.924,2680.0,67,0.230523,-0.330676,-0.330676,0.027754,0.027754,-0.281372,1
2721.612,2720.0,68,0.26278,-0.32201,-0.32201,-0.034092,-0.034092,-0.24814,1
2761.74,2760.0,69,0.283155,-0.334206,-0.334206,-0.052015,-0.052015,-0.2505,1
2801.5,2800.0,70,0.296569,-0.346962,-0.346962,-0.05816,-0.05816,-0.258302,1
2841.598,2840.0,71,0.290725,-0.339421,-0.339421,-0.057856,-0.057856,-0.252281,1
2881.181,2880.0,72,0.150725,-0.279855,-0.279855,-0.186964,-0.186964,-0.31057,1
2921.891,2920.0,73,0.057723,-0.187062,-0.187062,-0.145559,-0.145559,-0.271216,1
2961.088,2960.0,74,0.126257,-0.047062,-0.047062,-0.005559,-0.005559,-0.131216,1
3000.844,3000.0,75,0.146767,0.092938,0.092938,0.134441,0.134441,0.008784,1
3040.897,3040.0,76,0.143414,0.232938,0.232938,0.253724,0.253724,0.042217,1
3081.739,3080.0,77,0.138723,0.270402,0.270402,0.275599,0.275599,0.04913,1
3121.534,3120.0,78,0.143197,0.291415,0.291415,0.292714,0.292714,0.052976,1
3161.195,3160.0,79,0.132776,0.151415,0.151415,0.152714,0.152714,0.058003,1
3200.788,3200.0,80,0.151941,0.282769,0.282769,0.283094,0.283094,0.059031,1
3240.954,3240.0,81,0.148179,0.297967,0.297967,0.298048,0.298048,0.05608,1
3281.3,3280.0,82,0.11969,0.244948,0.244948,0.244968,0.244968,0.045012,1
3321.024,3320.0,83,0.08502,0.174874,0.174874,0.174879,0.174879,0.031914,1
3360.954,3360.0,84,0.048803,0.100537,0.100537,0.100538,0.100538,0.018309,1
3401.179,3400.0,85,0.012201,0.025134,0.025134,0.025135,0.025135,0.004577,1
3441.381,3440.0,86,0.00305,0.006284,0.006284,0.006284,0.006284,0.001144,1
3481.438,3480.0,87,0.000763,0.001571,0.001571,0.001571,0.001571,0.000286,1
3520.634,3520.0,88,0.000191,0.000393,0.000393,0.000393,0.000393,7.2e-05,1
3560.996,3560.0,89,4.8e-05,9.8e-05,9.8e-05,9.8e-05,9.8e-05,1.8e-05,1
3601.781,3600.0,90,1.2e-05,2.5e-05,2.5e-05,2.5e-05,2.5e-05,4e-06,1
3640.448,3640.0,91,3e-06,6e-06,6e-06,6e-06,6e-06,1e-06,1
3680.492,3680.0,92,1e-06,2e-06,2e-06,2e-06,2e-06,0.0,1
3721.036,3720.0,93,0.000435,-0.139998,-0.139998,-0.139998,-0.139998,-0.14,1
3761.257,3760.0,94,0.065227,2e-06,2e-06,2e-06,2e-06,-0.112234,1
3801.309,3800.0,95,0.205227,0.140002,0.140002,0.020443,0.020443,0.027766,1
3841.273,3840.0,96,0.345227,0.280002,0.280002,0.025608,0.025608,0.167766,1
3880.519,3880.0,97,0.461319,0.372895,0.372895,0.028037,0.028037,0.215024,1
3920.519,3920.0,98,0.500311,0.40417,0.40417,0.02922,0.02922,0.231439,1
3960.84,3960.0,99,0.360311,0.26417,0.26417,0.025218,0.025218,0.165336,1
4000.77,4000.0,100,0.264727,0.12417,0.12417,0.019739,0.019739,0.121941,1
4040.706,4040.0,101,0.182615,0.068659,0.068659,0.013891,0.013891,0.084224,1
4081.737,4080.0,102,0.10387,0.035973,0.035973,0.007951,0.007951,0.047925,1
4121.503,4120.0,103,0.025968,0.008993,0.008993,0.001988,0.001988,0.011981,1
4160.622,4160.0,104,0.006492,0.002248,0.002248,0.000497,0.000497,0.002995,1
4200.933,4200.0,105,0.114103,-0.137752,-0.137752,0.140497,0.140497,-0.137005,1
4240.913,4240.0,106,0.028526,-0.229438,-0.229438,0.000497,0.000497,-0.277005,1
4281.367,4280.0,107,0.027625,-0.177104,-0.177104,-0.100927,-0.100927,-0.267199,1
4321.414,4320.0,108,0.122718,-0.037104,-0.037104,0.039073,0.039073,-0.127199,1
4360.989,4360.0,109,0.262718,0.102896,0.102896,0.064352,0.064352,0.012801,1
4401.027,4400.0,110,0.402718,0.242896,0.242896,0.035824,0.035824,0.152801,1
4440.9,4440.0,111,0.314156,0.102896,0.102896,-0.033739,-0.033739,0.012801,1
4481.169,4480.0,112,0.304658,-0.037104,-0.037104,-0.053658,-0.053658,-0.127199,1
4521.031,4520.0,113,0.173096,-0.165857,-0.165857,0.001498,0.001498,0.012801,1
4561.179,4560.0,114,0.140801,-0.026017,-0.026017,0.105153,0.105153,0.044143,1
4600.949,4600.0,115,0.108346,0.005081,0.005081,0.104873,0.104873,0.041743,1
4641.372,4640.0,116,0.07585,0.008994,0.008994,0.078608,0.078608,0.030907,1
4681.71,4680.0,117,0.043344,0.00611,0.00611,0.045846,0.045846,0.017963,1
4721.241,4720.0,118,0.010836,0.001528,0.001528,0.011462,0.011462,0.004491,1
4761.116,4760.0,119,0.002709,0.000382,0.000382,0.002865,0.002865,0.001123,1
4801.364,4800.0,120,0.000677,9.5e-05,9.5e-05,0.000716,0.000716,0.000281,1
4841.074,4840.0,121,0.000169,2.4e-05,2.4e-05,0.000179,0.000179,7e-05,1
4880.792,4880.0,122,4.2e-05,6e-06,6e-06,4.5e-05,4.5e-05,1.8e-05,1
4920.954,4920.0,123,1.1e-05,1e-06,1e-06,1.1e-05,1.1e-05,4e-06,1
4961.285,4960.0,124,3e-06,0.0,0.0,3e-06,3e-06,1e-06,1
5000.488,5000.0,125,1e-06,0.0,0.0,1e-06,1e-06,0.0,1
5041.144,5040.0,126,0.112482,0.14,0.14,0.140001,0.140001,0.045849,1
5081.344,5080.0,127,0.14689,0.279961,0.279961,0.279961,0.279961,0.056001,1
5121.113,5120.0,128,0.164133,0.332775,0.332775,0.332775,0.332775,0.061779,1
5160.443,5160.0,129,0.169262,0.347665,0.347665,0.347665,0.347665,0.06353,1
5200.606,5200.0,130,0.159094,0.327772,0.327772,0.327772,0.327772,0.059674,1
5240.842,5240.0,131,0.145562,0.300132,0.300132,0.300132,0.300132,0.054589,1
5280.742,5280.0,132,0.136764,0.282052,0.282052,0.282052,0.282052,0.051287,1
5321.327,5320.0,133,0.131822,0.142052,0.142052,0.188344,0.188344,0.05322,1
5360.648,5360.0,134,0.123865,0.002052,0.002052,0.061072,0.061072,0.055263,1
5400.482,5400.0,135,0.099149,-0.109627,-0.109627,0.025758,0.025758,0.045284,1
5441.245,5440.0,136,0.070242,-0.100833,-0.100833,0.013432,0.013432,0.0323,1
5482.408,5480.0,137,0.040288,-0.061922,-0.061922,0.006855,0.006855,0.018565,1
5520.5,5520.0,138,0.010072,-0.01548,-0.01548,0.001714,0.001714,0.004641,1
5561.147,5560.0,139,0.002518,-0.00387,-0.00387,0.000428,0.000428,0.00116,1
5600.956,5600.0,140,0.000629,-0.000968,-0.000968,0.000107,0.000107,0.00029,1
5640.755,5640.0,141,0.000157,-0.000242,-0.000242,2.7e-05,2.7e-05,7.3e-05,1
5681.455,5680.0,142,3.9e-05,-6e-05,-6e-05,7e-06,7e-06,1.8e-05,1
5720.386,5720.0,143,1e-05,-1.5e-05,-1.5e-05,2e-06,2e-06,5e-06,1
5761.125,5760.0,144,2e-06,-4e-06,-4e-06,0.0,0.0,1e-06,1
5801.219,5800.0,145,1e-06,-1e-06,-1e-06,0.0,0.0,0.0,1
5840.564,5840.0,146,0.0,-0.0,-0.0,0.0,0.0,0.0,1
5881.456,5880.0,147,0.0,-0.0,-0.0,0.0,0.0,0.0,1
5921.022,5920.0,148,0.0,-0.0,-0.0,0.0,0.0,0.0,1
5960.578,5960.0,149,0.0,-0.0,-0.0,0.0,0.0,0.0,1
6001.564,6000.0,150,0.0,-0.0,-0.0,0.0,0.0,0.0,1
6040.726,6040.0,151,0.0,-0.0,-0.0,0.0,0.0,0.0,1
6082.08,6080.0,152,0.0,-0.0,-0.0,0.0,0.0,0.0,1
6120.609,6120.0,153,0.0,-0.0,-0.0,0.0,0.0,0.0,1
6161.4,6160.0,154,0.0,-0.0,-0.0,0.0,0.0,0.0,1
6200.827,6200.0,155,0.0,-0.0,-0.0,0.0,0.0,0.0,1
6241.368,6240.0,156,0.0,-0.0,-0.0,0.0,0.0,0.0,1
6281.867,6280.0,157,0.0,-0.0,-0.0,0.0,0.0,0.0,1
6320.885,6320.0,158,0.0,-0.0,-0.0,0.0,0.0,0.0,1
6361.377,6360.0,159,0.0,-0.0,-0.0,0.0,0.0,0.0,1
6401.169,6400.0,160,0.0,-0.0,-0.0,0.0,0.0,0.0,1
6440.656,6440.0,161,0.114095,0.14,0.14,0.14,0.14,0.042786,1
6481.091,6480.0,162,0.152698,0.28,0.28,0.28,0.28,0.057262,1
6521.418,6520.0,163,0.239406,0.255617,0.255617,0.14,0.14,0.18404,1
6561.267,6560.0,164,0.271168,0.2315,0.2315,0.0,0.0,0.235466,1
6600.742,6600.0,165,0.256868,0.159377,0.159377,-0.055166,-0.055166,0.21963,1
6640.937,6640.0,166,0.188716,0.019377,0.019377,-0.017738,-0.017738,0.13252,1
6680.634,6680.0,167,0.147384,-0.120623,-0.120623,0.010982,0.010982,0.079379,1
6720.925,6720.0,168,0.153939,0.019377,0.019377,0.150982,0.150982,0.065205,1
6761.475,6760.0,169,0.158154,0.159377,0.159377,0.284564,0.284564,0.061177,1
6800.796,6800.0,170,0.152233,0.272276,0.272276,0.303573,0.303573,0.057555,1
6841.085,6840.0,171,0.122579,0.242393,0.242393,0.250217,0.250217,0.046084,1
6881.137,6880.0,172,0.086992,0.176814,0.176814,0.17877,0.17877,0.032651,1
6920.998,6920.0,173,0.049922,0.102311,0.102311,0.1028,0.1028,0.018728,1
6960.864,6960.0,174,0.01248,0.025578,0.025578,0.0257,0.0257,0.004682,1
7001.001,7000.0,175,0.00312,0.006394,0.006394,0.006425,0.006425,0.001171,1
7041.234,7040.0,176,0.00078,0.001599,0.001599,0.001606,0.001606,0.000293,1
7081.871,7080.0,177,0.000195,0.0004,0.0004,0.000402,0.000402,7.3e-05,1
7120.501,7120.0,178,4.9e-05,0.0001,0.0001,0.0001,0.0001,1.8e-05,1
7161.319,7160.0,179,1.2e-05,2.5e-05,2.5e-05,2.5e-05,2.5e-05,5e-06,1
7201.749,7200.0,180,3e-06,6e-06,6e-06,6e-06,6e-06,1e-06,1
7241.402,7240.0,181,1e-06,2e-06,2e-06,2e-06,2e-06,0.0,1
7281.166,7280.0,182,0.0,0.0,0.0,0.0,0.0,0.0,1
7321.462,7320.0,183,0.0,0.0,0.0,0.0,0.0,0.0,1
7360.796,7360.0,184,0.112349,-0.14,-0.14,0.14,0.14,-0.14,1
7401.432,7400.0,185,0.150102,-0.28,-0.28,0.218022,0.218022,-0.28,1
7440.695,7440.0,186,0.157519,-0.42,-0.42,0.234496,0.234496,-0.42,1
7481.007,7480.0,187,0.152972,-0.56,-0.56,0.229013,0.229013,-0.56,1
7521.394,7520.0,188,0.123437,-0.518049,-0.518049,0.185045,0.185045,-0.528699,1
7560.614,7560.0,189,0.087655,-0.381545,-0.381545,0.131455,0.131455,-0.391307,1
7602.137,7600.0,190,0.050312,-0.241545,-0.241545,0.075461,0.075461,-0.251307,1
7641.097,7640.0,191,0.012578,-0.101545,-0.101545,0.018865,0.018865,-0.111307,1
7681.742,7680.0,192,0.003144,-0.025386,-0.025386,0.004716,0.004716,-0.027827,1
7720.925,7720.0,193,0.000786,-0.006347,-0.006347,0.001179,0.001179,-0.006957,1
7761.495,7760.0,194,0.000197,-0.001587,-0.001587,0.000295,0.000295,-0.001739,1
7800.7,7800.0,195,4.9e-05,-0.000397,-0.000397,7.4e-05,7.4e-05,-0.000435,1
7841.592,7840.0,196,1.2e-05,-0.140397,-0.140397,-0.139926,-0.139926,-0.140435,1
7880.545,7880.0,197,0.066529,-0.143186,-0.143186,-0.174292,-0.174292,-0.20979,1
7920.641,7920.0,198,0.206529,-0.003186,-0.003186,-0.034292,-0.034292,-0.06979,1
7960.641,7960.0,199,0.066529,-0.143186,-0.143186,-0.174292,-0.174292,-0.20979,1
8000.387,8000.0,200,0.016632,-0.230797,-0.230797,-0.216073,-0.216073,-0.299948,1
8041.065,8040.0,201,0.004158,-0.252699,-0.252699,-0.226518,-0.226518,-0.322487,1
8081.813,8080.0,202,0.021245,-0.312573,-0.312573,-0.167625,-0.167625,-0.375551,1
8120.98,8120.0,203,0.115953,-0.452573,-0.452573,-0.027625,-0.027625,-0.515551,1
8160.971,8160.0,204,0.116511,-0.312573,-0.312573,0.006558,0.006558,-0.375551,1
8200.979,8200.0,205,0.117865,-0.221489,-0.221489,0.015292,0.015292,-0.235551,1
8241.165,8240.0,206,0.121712,-0.204384,-0.204384,0.018014,0.018014,-0.095551,1
8281.214,8280.0,207,0.217578,-0.064384,-0.064384,-0.052157,-0.052157,0.044449,1
8320.434,8320.0,208,0.257854,0.075616,0.075616,-0.083197,-0.083197,0.184449,1
8361.119,8360.0,209,0.173774,-0.064384,-0.064384,0.056803,0.056803,0.044449,1
8401.423,8400.0,210,0.153345,-0.204384,-0.204384,0.179053,0.179053,-0.095551,1
8441.445,8440.0,211,0.150253,-0.344384,-0.344384,0.212638,0.212638,-0.235551,1
8480.529,8480.0,212,0.150143,-0.484384,-0.484384,0.222029,0.222029,-0.375551,1
8521.083,8520.0,213,0.149159,-0.616423,-0.616423,0.222942,0.222942,-0.515551,1
8561.03,8560.0,214,0.12557,-0.476423,-0.476423,0.082942,0.082942,-0.375551,1
8600.683,8600.0,215,0.118848,-0.336423,-0.336423,0.03419,0.03419,-0.235551,1
8641.497,8640.0,216,0.11887,-0.22813,-0.22813,0.022264,0.022264,-0.095551,1
8681.205,8680.0,217,0.138459,-0.08813,-0.08813,0.162264,0.162264,0.018238,1
8721.161,8720.0,218,0.147647,0.05187,0.05187,0.273696,0.273696,0.046946,1
8760.823,8760.0,219,0.149373,0.19187,0.19187,0.300375,0.300375,0.05391,1
8801.717,8800.0,220,0.146118,0.272316,0.272316,0.299442,0.299442,0.054268,1
8841.423,8840.0,221,0.146591,0.295082,0.295082,0.301864,0.301864,0.05484,1
8881.18,8880.0,222,0.146754,0.300865,0.300865,0.30256,0.30256,0.055,1
8920.397,8920.0,223,0.144627,0.297839,0.297839,0.298262,0.298262,0.054227,1
8961.598,8960.0,224,0.284627,0.359314,0.359314,0.158262,0.158262,0.176331,1
9000.987,9000.0,225,0.163713,0.219314,0.219314,0.053805,0.053805,0.0868,1
9040.988,9040.0,226,0.141248,0.079314,0.079314,0.028886,0.028886,0.068002,1
9081.508,9080.0,227,0.133423,-0.060686,-0.060686,0.022315,0.022315,0.062283,1
9120.391,9120.0,228,0.122325,-0.15889,-0.15889,0.019266,0.019266,0.056633,1
9160.703,9160.0,229,0.089893,-0.135535,-0.135535,0.013942,0.013942,0.041533,1
9201.656,9200.0,230,0.05213,-0.08179,-0.08179,0.008048,0.008048,0.024071,1
9241.369,9240.0,231,0.013032,-0.020448,-0.020448,0.002012,0.002012,0.006018,1
9281.375,9280.0,232,0.153032,0.119552,0.119552,-0.069062,-0.069062,0.146018,1
9320.608,9320.0,233,0.252529,0.199827,0.199827,-0.091152,-0.091152,0.228609,1
9360.757,9360.0,234,0.266187,0.211,0.211,-0.092807,-0.092807,0.239201,1
9400.548,9400.0,235,0.258622,0.205086,0.205086,-0.089434,-0.089434,0.232006,1
9441.211,9440.0,236,0.264407,0.209695,0.209695,-0.091239,-0.091239,0.237089,1
9480.527,9480.0,237,0.283616,0.224935,0.224935,-0.097814,-0.097814,0.254285,1
9521.16,9520.0,238,0.423616,0.364935,0.364935,-0.001225,-0.001225,0.249405,1
9560.341,9560.0,239,0.283616,0.330316,0.330316,0.138775,0.138775,0.109405,1
9600.855,9600.0,240,0.181308,0.310288,0.310288,0.262403,0.262403,0.068753,1
9641.489,9640.0,241,0.151601,0.296761,0.296761,0.28479,0.28479,0.057041,1
9681.43,9680.0,242,0.22082,0.242916,0.242916,0.14479,0.14479,0.16854,1
9721.243,9720.0,243,0.254104,0.218477,0.218477,0.00479,0.00479,0.220459,1
9761.22,9760.0,244,0.2127,0.172929,0.172929,-0.050242,-0.050242,0.188858,1
9801.171,9800.0,245,0.152625,0.122106,0.122106,-0.046854,-0.046854,0.136376,1
9840.796,9840.0,246,0.087881,0.069963,0.069963,-0.02886,-0.02886,0.078675,1
9881.482,9880.0,247,0.02197,0.017491,0.017491,-0.007215,-0.007215,0.019669,1
9920.833,9920.0,248,0.005493,0.004373,0.004373,-0.001804,-0.001804,0.004917,1
9961.025,9960.0,249,0.001373,0.001093,0.001093,-0.000451,-0.000451,0.001229,1
10001.162,10000.0,250,0.000343,0.000273,0.000273,-0.000113,-0.000113,0.000307,1
10040.95,10040.0,251,8.6e-05,6.8e-05,6.8e-05,-2.8e-05,-2.8e-05,7.7e-05,1
10080.734,10080.0,252,2.1e-05,1.7e-05,1.7e-05,-7e-06,-7e-06,1.9e-05,1
10121.523,10120.0,253,5e-06,4e-06,4e-06,-2e-06,-2e-06,5e-06,1
10160.996,10160.0,254,1e-06,1e-06,1e-06,-0.0,-0.0,1e-06,1
10201.178,10200.0,255,0.0,0.0,0.0,-0.0,-0.0,0.0,1
10241.265,10240.0,256,0.0,0.0,0.0,-0.0,-0.0,0.0,1
10281.137,10280.0,257,0.0,0.0,0.0,-0.0,-0.0,0.0,1
10320.942,10320.0,258,0.0,0.0,0.0,-0.0,-0.0,0.0,1
10361.057,10360.0,259,0.108039,-0.14,-0.14,0.14,0.14,-0.14,1
10400.766,10400.0,260,0.143635,-0.28,-0.28,0.209937,0.209937,-0.28,1
10441.35,10440.0,261,0.154561,-0.42,-0.42,0.230462,0.230462,-0.42,1
10480.651,10480.0,262,0.152304,-0.56,-0.56,0.228111,0.228111,-0.56,1
10521.062,10520.0,263,0.113852,-0.476255,-0.476255,0.170691,0.170691,-0.485727,1
10561.394,10560.0,264,0.066351,-0.336255,-0.336255,0.099505,0.099505,-0.345727,1
10601.41,10600.0,265,0.016588,-0.196255,-0.196255,0.024876,0.024876,-0.205727,1
10641.574,10640.0,266,0.156588,-0.056255,-0.056255,-0.066018,-0.066018,-0.065727,1
10681.122,10680.0,267,0.156991,0.083745,0.083745,0.073982,0.073982,0.02776,1
10721.77,10720.0,268,0.131153,0.170822,0.170822,0.172958,0.172958,-0.008947,1
10760.73,10760.0,269,0.094059,0.142629,0.142629,0.146215,0.146215,-0.012827,1
10800.713,10800.0,270,0.05415,0.085619,0.085619,0.088041,0.088041,-0.008503,1
10840.702,10840.0,271,0.013537,0.021405,0.021405,0.02201,0.02201,-0.002126,1
10880.741,10880.0,272,0.153537,0.161405,0.161405,0.026318,0.026318,0.137874,1
10920.84,10920.0,273,0.128909,0.021405,0.021405,0.020506,0.020506,0.07625,1
10961.279,10960.0,274,0.092578,-0.092138,-0.092138,0.014411,0.014411,0.046917,1
11001.075,11000.0,275,0.053319,-0.071778,-0.071778,0.008245,0.008245,0.025656,1
11041.2,11040.0,276,0.01333,-0.017945,-0.017945,0.002061,0.002061,0.006414,1
11080.651,11080.0,277,0.003332,-0.157945,-0.157945,-0.137939,-0.137939,-0.133586,1
11120.938,11120.0,278,0.112647,-0.297945,-0.297945,0.002061,0.002061,-0.273586,1
11161.549,11160.0,279,0.13891,-0.437945,-0.437945,0.142061,0.142061,-0.413586,1
11202.041,11200.0,280,0.117789,-0.478072,-0.478072,0.160108,0.160108,-0.482366,1
11241.482,11240.0,281,0.084821,-0.365242,-0.365242,0.123089,0.123089,-0.373237,1
11281.235,11280.0,282,0.048892,-0.225242,-0.225242,0.072303,0.072303,-0.233237,1
11321.464,11320.0,283,0.012223,-0.085242,-0.085242,0.018076,0.018076,-0.093237,1
11360.964,11360.0,284,0.003056,-0.021311,-0.021311,0.004519,0.004519,-0.023309,1
11400.963,11400.0,285,0.143056,0.118689,0.118689,-0.017131,-0.017131,0.116691,1
11440.734,11440.0,286,0.247459,0.197568,0.197568,-0.077281,-0.077281,0.218968,1
11480.775,11480.0,287,0.279439,0.221951,0.221951,-0.094346,-0.094346,0.249808,1
11521.311,11520.0,288,0.272184,0.215952,0.215952,-0.093354,-0.093354,0.243846,1
11561.318,11560.0,289,0.21979,0.174336,0.174336,-0.075664,-0.075664,0.197007,1
11601.418,11600.0,290,0.15611,0.123816,0.123816,-0.0538,-0.0538,0.139949,1
11641.65,11640.0,291,0.089609,0.07107,0.07107,-0.030892,-0.030892,0.080336,1
11680.916,11680.0,292,0.022402,0.017767,0.017767,-0.007723,-0.007723,0.020084,1
11721.086,11720.0,293,0.116952,-0.122233,-0.122233,0.132277,0.132277,-0.119916,1
11760.529,11760.0,294,0.146783,-0.262233,-0.262233,0.209386,0.209386,-0.259916,1
11801.323,11800.0,295,0.150535,-0.402233,-0.402233,0.223106,0.223106,-0.399916,1
11840.723,11840.0,296,0.143281,-0.542233,-0.542233,0.214247,0.214247,-0.539916,1
11880.803,11880.0,297,0.122171,-0.402233,-0.402233,0.074247,0.074247,-0.399916,1
11921.395,11920.0,298,0.137,-0.262233,-0.262233,0.20905,0.20905,-0.259916,1
11961.196,11960.0,299,0.145893,-0.122233,-0.122233,0.282526,0.282526,-0.119916,1
12001.42,12000.0,300,0.142534,0.017767,0.017767,0.289381,0.289381,0.009794,1
12041.235,12040.0,301,0.143012,0.157767,0.157767,0.293815,0.293815,0.042716,1
12081.167,12080.0,302,0.124867,0.017767,0.017767,0.153815,0.153815,0.051808,1
12121.485,12120.0,303,0.130472,-0.122233,-0.122233,0.118163,0.118163,-0.088192,1
12161.039,12160.0,304,0.10706,-0.252129,-0.252129,0.089323,0.089323,-0.168062,1
